[31-May-2017 22:31:17 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:18 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:18 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:18 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:18 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:18 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:18 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:19 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:19 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:19 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:19 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:19 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:19 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:20 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:20 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:20 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:20 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:20 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:20 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:24 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:24 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:24 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:25 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:25 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:25 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:25 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:25 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:25 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:25 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:25 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:25 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:26 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:26 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:26 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:28 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:28 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:28 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
[31-May-2017 22:31:29 PRC] PHP Warning:  include(DB.class): failed to open stream: No such file or directory in D:\a\1.php on line 6
[31-May-2017 22:31:29 PRC] PHP Warning:  include(): Failed opening 'DB.class' for inclusion (include_path='.;C:\php\pear') in D:\a\1.php on line 6
[31-May-2017 22:31:29 PRC] PHP Fatal error:  Class 'DB' not found in D:\a\1.php on line 7
